Customer_ID,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans ,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker,Default_On_Payment,Count
100015,<0,15,existing credits paid back duly till now,car (new),1403,<1000,1 < = < 4 years,2,female : divorced/separated/married, none,4,0<=100003,28,none,rent,1,skilled employee / official,1,none,yes,0,1
100016,<0,24,existing credits paid back duly till now,radio/television,1282,1000 <= 5000,1 < = < 4 years,4,female : divorced/separated/married, none,2,0<=100003,32,none,own,1,unskilled - resident,1,none,yes,1,1
100017,NA,24,critical account/other credits existing(not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male : single, none,4,0<=100002,53,none,own,2,skilled employee / official,1,none,yes,0,1
100018,<0,30, no credits taken/all credits paid back duly,business,8072,unknown/ no savings account,< 1 year,2,male : single, none,3,0<=100003,25,bank,own,3,skilled employee / official,1,none,yes,0,1
100019,0<=10000,24,existing credits paid back duly till now,car (used),12579,<1000,>= 7 years,4,female : divorced/separated/married, none,2,0<=100004,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,1,1
100020,NA,24,existing credits paid back duly till now,radio/television,3430,5000 <= 10000,>= 7 years,3,male : single, none,2,0<=100003,31,none,own,1,skilled employee / official,2,yes; registered under the customer�s name,yes,0,1
100021,NA,9,critical account/other credits existing(not at this bank),car (new),2134,<1000,1 < = < 4 years,4,male : single, none,4,0<=100003,48,none,own,3,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100022,<0,6,existing credits paid back duly till now,radio/television,2647,5000 <= 10000,1 < = < 4 years,2,male : single, none,3,0<=100001,44,none,rent,1,skilled employee / official,2,none,yes,0,1
100023,<0,10,critical account/other credits existing(not at this bank),car (new),2241,<1000,< 1 year,1,male : single, none,3,0<=100001,48,none,rent,2,unskilled - resident,2,none,no,0,1
100024,0<=10000,12,critical account/other credits existing(not at this bank),car (used),1804,1000 <= 5000,< 1 year,3,male : single, none,4,0<=100002,44,none,own,1,skilled employee / official,1,none,yes,0,1
100025,NA,10,critical account/other credits existing(not at this bank),furniture/equipment,2069,unknown/ no savings account,1 < = < 4 years,2,male : married/widowed, none,1,0<=100003,26,none,own,2,skilled employee / official,1,none,no,0,1
100026,<0,6,existing credits paid back duly till now,furniture/equipment,1374,<1000,1 < = < 4 years,1,male : single, none,2,0<=100001,36,bank,own,1,unskilled - resident,1,yes; registered under the customer�s name,yes,0,1
100027,NA,6, no credits taken/all credits paid back duly,radio/television,426,<1000,>= 7 years,4,male : married/widowed, none,4,0<=100003,39,none,own,1,unskilled - resident,1,none,yes,0,1
100028,> 10000,12,all credits at this bank paid back duly ,radio/television,409,>= 10000,1 < = < 4 years,3,female : divorced/separated/married, none,3,0<=100001,42,none,rent,2,skilled employee / official,1,none,yes,0,1
100029,0<=10000,7,existing credits paid back duly till now,radio/television,2415,<1000,1 < = < 4 years,3,male : single,guarantor,2,0<=100001,34,none,own,1,skilled employee / official,1,none,yes,0,1
100030,<0,60,delay in paying off in the past,business,6836,<1000,>= 7 years,3,male : single, none,4,0<=100004,63,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100031,0<=10000,18,existing credits paid back duly till now,business,1913,>= 10000,< 1 year,3,male : married/widowed, none,3,0<=100001,36,bank,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100032,<0,24,existing credits paid back duly till now,furniture/equipment,4020,<1000,1 < = < 4 years,2,male : single, none,2,0<=100003,27,stores,own,1,skilled employee / official,1,none,yes,0,1
100033,0<=10000,18,existing credits paid back duly till now,car (new),5866,1000 <= 5000,1 < = < 4 years,2,male : single, none,2,0<=100003,30,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100034,NA,12,critical account/other credits existing(not at this bank),business,1264,unknown/ no savings account,>= 7 years,4,male : single, none,4,0<=100004,57,none,rent,1,unskilled - resident,1,none,yes,0,1
100035,> 10000,12,existing credits paid back duly till now,furniture/equipment,1474,<1000,< 1 year,4,female : divorced/separated/married, none,1,0<=100002,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100036,0<=10000,45,critical account/other credits existing(not at this bank),radio/television,4746,<1000,< 1 year,4,male : single, none,2,0<=100002,25,none,own,2,unskilled - resident,1,none,yes,1,1
100037,NA,48,critical account/other credits existing(not at this bank),education,6110,<1000,1 < = < 4 years,1,male : single, none,3,0<=100004,31,bank,for free,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100038,> 10000,18,existing credits paid back duly till now,radio/television,2100,<1000,1 < = < 4 years,4,male : single,co-applicant,2,0<=100001,37,stores,own,1,skilled employee / official,1,none,yes,1,1
100039,> 10000,10,existing credits paid back duly till now,domestic appliances,1225,<1000,1 < = < 4 years,2,male : single, none,2,0<=100003,37,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100040,0<=10000,9,existing credits paid back duly till now,radio/television,458,<1000,1 < = < 4 years,4,male : single, none,3,0<=100001,24,none,own,1,skilled employee / official,1,none,yes,0,1
100041,NA,30,existing credits paid back duly till now,radio/television,2333,5000 <= 10000,>= 7 years,4,male : single, none,2,0<=100003,30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0,1
100042,0<=10000,12,existing credits paid back duly till now,radio/television,1158,5000 <= 10000,1 < = < 4 years,3,male : divorced/separated, none,1,0<=100003,26,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100043,0<=10000,18,delay in paying off in the past,repairs,6204,<1000,1 < = < 4 years,2,male : single, none,4,0<=100001,44,none,own,1,unskilled - resident,2,yes; registered under the customer�s name,yes,0,1
100044,<0,30,critical account/other credits existing(not at this bank),car (used),6187,1000 <= 5000,4 < = < 7 years,1,male : married/widowed, none,4,0<=100003,24,none,rent,2,skilled employee / official,1,none,yes,0,1
100045,<0,48,critical account/other credits existing(not at this bank),car (used),6143,<1000,>= 7 years,4,female : divorced/separated/married, none,4,0<=100004,58,stores,for free,2,unskilled - resident,1,none,yes,1,1
100046,NA,11,critical account/other credits existing(not at this bank),car (new),1393,<1000,< 1 year,4,female : divorced/separated/married, none,4,0<=100003,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0,1
100047,NA,36,existing credits paid back duly till now,radio/television,2299,5000 <= 10000,>= 7 years,4,male : single, none,4,0<=100003,39,none,own,1,skilled employee / official,1,none,yes,0,1
100048,<0,6,existing credits paid back duly till now,car (used),1352,5000 <= 10000, unemployed,1,female : divorced/separated/married, none,2,0<=100002,23,none,rent,1, unemployed/ unskilled - non-resident,1,yes; registered under the customer�s name,yes,0,1
100049,NA,11,critical account/other credits existing(not at this bank),car (new),7228,<1000,1 < = < 4 years,1,male : single, none,4,0<=100002,39,none,own,2,unskilled - resident,1,none,yes,0,1
100050,NA,12,existing credits paid back duly till now,radio/television,2073,1000 <= 5000,1 < = < 4 years,4,female : divorced/separated/married,co-applicant,2,0<=100001,28,none,own,1,skilled employee / official,1,none,yes,0,1
100051,0<=10000,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,< 1 year,4,male : single, none,2,0<=100002,29,bank,own,1,unskilled - resident,1,none,yes,0,1
100052,0<=10000,27,delay in paying off in the past,car (used),5965,<1000,>= 7 years,1,male : single, none,2,0<=100003,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100053,NA,12,existing credits paid back duly till now,radio/television,1262,<1000,1 < = < 4 years,3,male : single, none,2,0<=100003,25,none,own,1,skilled employee / official,1,none,yes,0,1
100054,NA,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 < = < 4 years,2,male : single, none,1,0<=100002,31,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100055,0<=10000,36,delay in paying off in the past,car (new),2225,<1000,>= 7 years,4,male : single, none,4,0<=100004,57,bank,for free,2,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100056,NA,6,all credits at this bank paid back duly ,car (new),783,unknown/ no savings account,1 < = < 4 years,1,male : single,guarantor,2,0<=100001,26,stores,own,1,unskilled - resident,2,none,yes,0,1
100057,0<=10000,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account, unemployed,2,male : single, none,1,0<=100004,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,1,1
100058,NA,36,critical account/other credits existing(not at this bank),radio/television,9566,<1000,1 < = < 4 years,2,female : divorced/separated/married, none,2,0<=100003,31,stores,own,2,skilled employee / official,1,none,yes,0,1
100059,> 10000,18,existing credits paid back duly till now,car (new),1961,<1000,>= 7 years,3,female : divorced/separated/married, none,2,0<=100003,23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0,1
100060,<0,36,critical account/other credits existing(not at this bank),furniture/equipment,6229,<1000,< 1 year,4,female : divorced/separated/married,co-applicant,4,0<=100004,23,none,rent,2,unskilled - resident,1,yes; registered under the customer�s name,yes,1,1
100061,0<=10000,9,existing credits paid back duly till now,business,1391,<1000,1 < = < 4 years,2,male : married/widowed, none,1,0<=100001,27,bank,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100062,0<=10000,15,critical account/other credits existing(not at this bank),radio/television,1537,unknown/ no savings account,>= 7 years,4,male : single,guarantor,4,0<=100001,50,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100063,0<=10000,36, no credits taken/all credits paid back duly,business,1953,<1000,>= 7 years,4,male : single, none,4,0<=100004,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,1,1
100064,0<=10000,48, no credits taken/all credits paid back duly,business,14421,<1000,1 < = < 4 years,2,male : single, none,2,0<=100003,25,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100065,NA,24,existing credits paid back duly till now,radio/television,3181,<1000,< 1 year,4,female : divorced/separated/married, none,4,0<=100002,26,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100066,NA,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,>= 7 years,4,male : single, none,4,0<=100002,48,none,own,4,skilled employee / official,2,yes; registered under the customer�s name,yes,0,1
100067,NA,12,existing credits paid back duly till now,radio/television,2171,<1000,< 1 year,2,female : divorced/separated/married, none,2,0<=100003,29,bank,own,1,skilled employee / official,1,none,yes,0,1
100068,0<=10000,12,existing credits paid back duly till now,car (new),1007,>= 10000,1 < = < 4 years,4,male : married/widowed, none,1,0<=100001,22,none,own,1,skilled employee / official,1,none,yes,0,1
100069,NA,36,existing credits paid back duly till now,education,1819,<1000,1 < = < 4 years,4,male : single, none,4,0<=100004,37,stores,for free,1,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100070,NA,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 < = < 4 years,4,female : divorced/separated/married, none,4,0<=100003,25,none,own,1,skilled employee / official,1,none,yes,0,1
100071,NA,36,existing credits paid back duly till now,car (used),8133,<1000,1 < = < 4 years,1,female : divorced/separated/married, none,2,0<=100002,30,bank,own,1,skilled employee / official,1,none,yes,0,1
100072,NA,7,critical account/other credits existing(not at this bank),radio/television,730,unknown/ no savings account,>= 7 years,4,male : single, none,2,0<=100002,46,none,rent,2,unskilled - resident,1,yes; registered under the customer�s name,yes,0,1
100073,<0,8,critical account/other credits existing(not at this bank),car (used)0,1164,<1000,>= 7 years,3,male : single, none,4,0<=100004,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,yes; registered under the customer�s name,yes,0,1
100074,0<=10000,42,critical account/other credits existing(not at this bank),business,5954,<1000,4 < = < 7 years,2,female : divorced/separated/married, none,1,0<=100001,41,bank,own,2,unskilled - resident,1,none,yes,0,1
100075,<0,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,>= 7 years,4,male : single, none,4,0<=100004,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,1,1
100076,<0,12,critical account/other credits existing(not at this bank),car (used),1526,<1000,>= 7 years,4,male : single, none,4,0<=100004,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0,1
100077,<0,42,existing credits paid back duly till now,radio/television,3965,<1000,< 1 year,4,male : single, none,3,0<=100003,34,none,own,1,skilled employee / official,1,none,yes,1,1
100078,0<=10000,11,delay in paying off in the past,radio/television,4771,<1000,4 < = < 7 years,2,male : single, none,4,0<=100002,51,none,own,1,skilled employee / official,1,none,yes,0,1
100079,NA,54, no credits taken/all credits paid back duly,car (used),9436,unknown/ no savings account,1 < = < 4 years,2,male : single, none,2,0<=100002,39,none,own,1,unskilled - resident,2,none,yes,0,1
100080,0<=10000,30,existing credits paid back duly till now,furniture/equipment,3832,<1000,< 1 year,2,male : married/widowed, none,1,0<=100002,22,none,own,1,skilled employee / official,1,none,yes,0,1
100081,NA,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,< 1 year,1,female : divorced/separated/married, none,1,0<=100003,44,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100082,NA,15,existing credits paid back duly till now,radio/television,1213,5000 <= 10000,>= 7 years,4,male : single, none,3,0<=100002,47,stores,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100083,NA,18,existing credits paid back duly till now,business,1568,1000 <= 5000,1 < = < 4 years,3,female : divorced/separated/married, none,4,0<=100002,24,none,rent,1,unskilled - resident,1,none,yes,0,1
100084,<0,24,existing credits paid back duly till now,car (used)0,1755,<1000,>= 7 years,4,female : divorced/separated/married,guarantor,4,0<=100001,58,none,own,1,unskilled - resident,1,yes; registered under the customer�s name,yes,0,1
100085,<0,10,existing credits paid back duly till now,radio/television,2315,<1000,>= 7 years,3,male : single, none,4,0<=100001,52,none,own,1,unskilled - resident,1,none,yes,0,1
100086,NA,12,critical account/other credits existing(not at this bank),business,1412,<1000,1 < = < 4 years,4,female : divorced/separated/married,guarantor,2,0<=100001,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100087,0<=10000,18,critical account/other credits existing(not at this bank),furniture/equipment,1295,<1000,< 1 year,4,female : divorced/separated/married, none,1,0<=100002,27,none,own,2,skilled employee / official,1,none,yes,0,1
100088,0<=10000,36,existing credits paid back duly till now,education,12612,1000 <= 5000,1 < = < 4 years,1,male : single, none,4,0<=100004,47,none,for free,1,skilled employee / official,2,yes; registered under the customer�s name,yes,1,1
100089,<0,18,existing credits paid back duly till now,car (new),2249,1000 <= 5000,4 < = < 7 years,4,male : single, none,3,0<=100003,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,yes; registered under the customer�s name,yes,0,1
100090,<0,12, no credits taken/all credits paid back duly,repairs,1108,<1000,4 < = < 7 years,4,male : single, none,3,0<=100001,28,none,own,2,skilled employee / official,1,none,yes,1,1
100091,NA,12,critical account/other credits existing(not at this bank),radio/television,618,<1000,>= 7 years,4,male : single, none,4,0<=100001,56,none,own,1,skilled employee / official,1,none,yes,0,1
100092,<0,12,critical account/other credits existing(not at this bank),car (used),1409,<1000,>= 7 years,4,male : single, none,3,0<=100001,54,none,own,1,skilled employee / official,1,none,yes,0,1
100093,NA,12,critical account/other credits existing(not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married, none,3,0<=100002,33,bank,own,1,unskilled - resident,2,none,yes,1,1
100094,> 10000,24,critical account/other credits existing(not at this bank),furniture/equipment,3617,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,4,0<=100004,20,none,rent,2,skilled employee / official,1,none,yes,0,1
100095,0<=10000,12,existing credits paid back duly till now,car (new),1318,>= 10000,>= 7 years,4,male : single, none,4,0<=100001,54,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100096,0<=10000,54, no credits taken/all credits paid back duly,business,15945,<1000,< 1 year,3,male : single, none,4,0<=100004,58,none,rent,1,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100097,NA,12,critical account/other credits existing(not at this bank),education,2012,unknown/ no savings account,4 < = < 7 years,4,female : divorced/separated/married, none,2,0<=100003,61,none,own,1,skilled employee / official,1,none,yes,0,1
100098,0<=10000,18,existing credits paid back duly till now,business,2622,1000 <= 5000,1 < = < 4 years,4,male : single, none,4,0<=100003,34,none,own,1,skilled employee / official,1,none,yes,0,1
100099,0<=10000,36,critical account/other credits existing(not at this bank),radio/television,2337,<1000,>= 7 years,4,male : single, none,4,0<=100001,36,none,own,1,skilled employee / official,1,none,yes,0,1
100100,0<=10000,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 < = < 7 years,3,male : single, none,4,0<=100002,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,yes; registered under the customer�s name,yes,0,1
100101,NA,24,existing credits paid back duly till now,car (new),1469,1000 <= 5000,>= 7 years,4,male : married/widowed, none,4,0<=100001,41,none,rent,1,unskilled - resident,1,none,yes,0,1
100102,0<=10000,36,existing credits paid back duly till now,radio/television,2323,<1000,4 < = < 7 years,4,male : single, none,4,0<=100003,24,none,rent,1,skilled employee / official,1,none,yes,0,1
100103,NA,6,delay in paying off in the past,radio/television,932,<1000,1 < = < 4 years,3,female : divorced/separated/married, none,2,0<=100001,24,none,own,1,skilled employee / official,1,none,yes,0,1
100104,0<=10000,9,critical account/other credits existing(not at this bank),furniture/equipment,1919,<1000,4 < = < 7 years,4,male : single, none,3,0<=100003,35,none,rent,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100105,NA,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,< 1 year,2,male : married/widowed, none,4,0<=100003,26,none,rent,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100106,0<=10000,24,critical account/other credits existing(not at this bank),car (used)0,11938,<1000,1 < = < 4 years,2,male : single,co-applicant,3,0<=100003,39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,yes; registered under the customer�s name,yes,1,1
100107,NA,18,all credits at this bank paid back duly ,car (new),6458,<1000,>= 7 years,2,male : single, none,4,0<=100004,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,yes; registered under the customer�s name,yes,1,1
100108,0<=10000,12,existing credits paid back duly till now,car (new),6078,<1000,4 < = < 7 years,2,male : single, none,2,0<=100003,32,none,own,1,skilled employee / official,1,none,yes,0,1
100109,<0,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,< 1 year,1,female : divorced/separated/married, none,2,0<=100002,30,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,no,0,1
100110,0<=10000,14,existing credits paid back duly till now,business,1410,5000 <= 10000,>= 7 years,1,male : married/widowed, none,2,0<=100001,35,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100111,0<=10000,6,delay in paying off in the past,business,1449,1000 <= 5000,>= 7 years,1,male : divorced/separated, none,2,0<=100003,31,bank,own,2,skilled employee / official,2,none,yes,0,1
100112,> 10000,15,existing credits paid back duly till now,education,392,<1000,< 1 year,4,female : divorced/separated/married, none,4,0<=100002,23,none,rent,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100113,0<=10000,18,existing credits paid back duly till now,car (new),6260,<1000,4 < = < 7 years,3,male : single, none,3,0<=100001,28,none,rent,1,unskilled - resident,1,none,yes,0,1
100114,NA,36,critical account/other credits existing(not at this bank),car (new),7855,<1000,1 < = < 4 years,4,female : divorced/separated/married, none,2,0<=100001,25,stores,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100115,<0,12,existing credits paid back duly till now,radio/television,1680,5000 <= 10000,>= 7 years,3,male : married/widowed, none,1,0<=100001,35,none,own,1,skilled employee / official,1,none,yes,0,1
100116,NA,48,critical account/other credits existing(not at this bank),radio/television,3578,unknown/ no savings account,>= 7 years,4,male : single, none,1,0<=100001,47,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100117,<0,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 < = < 7 years,4,female : divorced/separated/married, none,3,0<=100003,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,1,1
100118,<0,10,critical account/other credits existing(not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female : divorced/separated/married,co-applicant,3,0<=100001,27,none,rent,2,skilled employee / official,1,none,no,0,1
100119,<0,33,critical account/other credits existing(not at this bank),furniture/equipment,4281,5000 <= 10000,1 < = < 4 years,1,female : divorced/separated/married, none,4,0<=100003,23,none,own,2,skilled employee / official,1,none,yes,1,1
100120,0<=10000,12,critical account/other credits existing(not at this bank),car (new),2366,5000 <= 10000,4 < = < 7 years,3,male : divorced/separated, none,3,0<=100003,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100121,<0,21,existing credits paid back duly till now,radio/television,1835,<1000,1 < = < 4 years,3,female : divorced/separated/married, none,2,0<=100001,25,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100122,NA,24,critical account/other credits existing(not at this bank),car (used),3868,<1000,>= 7 years,4,female : divorced/separated/married, none,2,0<=100003,41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100123,NA,12,existing credits paid back duly till now,furniture/equipment,1768,<1000,1 < = < 4 years,3,male : single, none,2,0<=100001,24,none,rent,1,unskilled - resident,1,none,yes,0,1
100124,> 10000,10,critical account/other credits existing(not at this bank),car (new),781,<1000,>= 7 years,4,male : single, none,4,0<=100004,63,none,for free,2,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100125,0<=10000,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,< 1 year,4,female : divorced/separated/married, none,3,0<=100001,27,none,rent,1,skilled employee / official,1,none,yes,1,1
100126,<0,12,critical account/other credits existing(not at this bank),car (new),2121,<1000,1 < = < 4 years,4,male : single, none,2,0<=100002,30,none,own,2,skilled employee / official,1,none,yes,0,1
100127,<0,12,existing credits paid back duly till now,radio/television,701,<1000,1 < = < 4 years,4,male : married/widowed, none,2,0<=100001,40,none,own,1,unskilled - resident,1,none,yes,0,1
100128,0<=10000,12,existing credits paid back duly till now,repairs,639,<1000,1 < = < 4 years,4,male : single, none,2,0<=100003,30,none,own,1,skilled employee / official,1,none,yes,1,1
100129,0<=10000,12,critical account/other credits existing(not at this bank),car (used),1860,<1000, unemployed,4,male : single, none,2,0<=100003,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100130,<0,12,critical account/other credits existing(not at this bank),car (new),3499,<1000,1 < = < 4 years,3,female : divorced/separated/married,co-applicant,2,0<=100001,29,none,own,2,skilled employee / official,1,none,yes,1,1
100131,0<=10000,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 < = < 7 years,1,female : divorced/separated/married, none,2,0<=100003,24,none,own,1,skilled employee / official,1,none,yes,0,1
100132,<0,36,delay in paying off in the past,education,6887,<1000,1 < = < 4 years,4,male : single, none,3,0<=100002,29,stores,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,1,1
100133,NA,15,existing credits paid back duly till now,furniture/equipment,2708,<1000,< 1 year,2,male : single, none,3,0<=100002,27,bank,own,2,unskilled - resident,1,none,yes,0,1
100134,NA,18,existing credits paid back duly till now,furniture/equipment,1984,<1000,1 < = < 4 years,4,male : single, none,4,0<=100004,47,bank,for free,2,skilled employee / official,1,none,yes,0,1
100135,NA,60,existing credits paid back duly till now,radio/television,10144,1000 <= 5000,4 < = < 7 years,2,female : divorced/separated/married, none,4,0<=100001,21,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100136,NA,12,critical account/other credits existing(not at this bank),radio/television,1240,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married, none,2,0<=100001,38,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100137,NA,27,delay in paying off in the past,car (used),8613,>= 10000,1 < = < 4 years,2,male : single, none,2,0<=100003,27,none,own,2,skilled employee / official,1,none,yes,0,1
100138,0<=10000,12,existing credits paid back duly till now,radio/television,766,5000 <= 10000,1 < = < 4 years,4,male : single, none,3,0<=100001,66,none,own,1,unskilled - resident,1,none,yes,1,1
100139,0<=10000,15,critical account/other credits existing(not at this bank),radio/television,2728,unknown/ no savings account,4 < = < 7 years,4,male : single,guarantor,2,0<=100001,35,bank,own,3,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
